,Cleaned_English_Tweets,overall_sentiment
4305,south indians watch yr retirees packs leave instead watch anyday anyday srk,negative
4306,south indians watch yr retirees packs leave instead watch anyday anyday srk,negative
4308,running theatres tpt city,neutral
4309,gross producers telugu trade media bollywood trade hard believe movie filmmaker kind manipulation trade reporting time believe,negative
4317,satya pareshan paratit worldwide ten day boxoffice gross global box office,negative
4318,exclusive yesterday night called offered sequel reportedly blocked contact team work,negative
4322,watch movie producers give watching movie buy bottles zandu balm,neutral
4323,fine give justice character convincing sita,positive
4324,fine give justice character convincing,positive
4326,oo ji indono movje sale incld rights profits muu lekk series karz dub jayga isliye rupai d dikha collection st wk qki ramayan naam chala thauske niya dub,positive
4327,incredibly touched overwhelming response shown adipurush cinemas,neutral
4328,aptg crs konnanu annav till collected days share means huge losses kaani fake posters matram balae vestunaru katamilkerala rights share ante loss hindios rights share ante loss total ww loss,negative
4332,audience taking shoes make wonderfull designs face,neutral
4333,blockbuster north sahoo profit jone north,positive
4334,strength strength global box office collects days continues steady march box office,positive
4335,doctor ravi godse funny review,positive
4339,show time,neutral
4340,kurnool th day gross days gross,negative
4341,wouldve played great ravana,positive
4343,indians meaning sale tickets increasing day day hitting setting call,neutral
4345,underworld funding humiliatedinsulted modern vulgar mughal khans lord rama vishnu justiceforgive sincrime adipurush makers,neutral
4346,weekend box office collection,neutral
4349,disappointed movie bcoz watching brilliant movie beautiful acting expecting kind movie disappointed,positive
4350,underworld funding pakistan insult humiliate god rama vishnu government india sudden action sad,negative
4351,clean hit dare call flop disaster average maya book,negative
4352,day boost back collected,positive
4353,days worldwide collections versions,neutral
4355,hindi movie crossed croremark read,neutral
4358,antisanataniantihindu filmsmovies highly funding pakistan tst played game bhushan kumar defame image lord rama vishnuwhole indias curse support underworld god vishnu forgive save,positive
4359,days global bo gross nett india share incl gst note overseas figs usd middle figs estimated,negative
4362,hindi worldwide box office collection days budget hindi india crore crore nett overseas crore million total crore india verdict flop,negative
4363,mumbai woodland cinemas virat d show ticket price,neutral
4364,weighs row matters faith held utmost sensitivity watch,positive
4365,joins bandwagon watching mocking read review movie,negative
4366,highest grossing indian movies worldwide days,negative
4368,days box office update india net india gross,negative
4369,world wide days box office gross crs,negative
4371,shoes writing script respect lord rama,positive
4372,show time finally,neutral
4374,breakeven northjust imagine film hit talk easily cross kavalani negative chesar,negative
4375,adipurush hold prabhas prepares project welcomes kamal haasan starring role,positive
4378,release date pushed forward time buzz strong completely forgot opened days prior release hope helps,positive
4379,south actor successful films north losses crs profit crs profit crs crs loss breakeven waiting mass comeback,positive
4380,top worst bollywood films imdb,negative
4382,adipurush days worldwide box office collections read,neutral
4383,feeling ther motive movie trace ppl involved funding ths project wondering actors r keen suddenly sponsor tickets differnt groups audiences,positive
4384,deserve negativity faced till today movie negativity biggest mistake claiming ramayana makers huge opportunity wasted team,negative
4385,waste,negative
4387,grossed crs worldwide days th grosser movie prabhas,negative
4394,public rejected bollywood epic adipurush,negative
4395,boi updated box office worldwide gross weekend closing gross india overseas,negative
4397,weekend box office collections,neutral
4400,town th day gross town days gross today th day morning show gross k,negative
4402,south india box office nett gtgt pathaan times tamil nadu kerala karnataka adipurush south lead face real potential bollywood panindia era era,neutral
4403,man wished burnt team highest celcius man wished kattapa killed baahubali tweet happy die son brother husband friend happy played character,positive
4404,kurnool city day gross days total gross day normal regular rates,negative
4407,collected gross ww days,negative
4411,collects crores global box officet days final run,neutral
4412,adipurush days collections,neutral
4415,versions nett gross india worldwide lifetime expected,negative
4416,recovered share hindi adp clean hit,positive
4421,days boxoffice collections updated hindi net net india net gross overseas gross worldwide gross heading gross lifetime,negative
4422,st indian actor grossers decade st south indian actor m movies overseas st telugu actor crshare mvs telugu,neutral
4423,highest grossing indian films year june mentioned figures denote worldwide gross,negative
4424,long fictional king playing role lives s hearts watch nearest,neutral
4427,real ww gross approx producers difference simply level manipulation firstly made b grade film topic breaking records terms manipulation team,negative
4428,th day collection,neutral
4431,join epic journey immerse mesmerizing world adipurush book tickets witness grandeur mythical adventure hurry battle awaits,positive
4432,watch adipurush light hearted conversation sanskrit professors narayan shete avinash chavhan full video,neutral
4433,censorship hypocrisy paradox calling ban film censored commentary double standards selective outrage dangerous precedents set factors trigger calls boycotting bollywood films today actors opinion countrys politics economy frivolous joke talk show movie scene context seemingly innocuous tweet trend boycotts prevalent social media platforms particularly twitter initially led journalists liberals dissenting views underlying differences explored backlash adipurush om rauts adipurush recent release generated significant controversy despite possessing elements blockbuster film including popular lead actor story based revered hindu epic substantial budget endorsements rightwing leaders celebrities film faced backlash groups including india cine workers association hashtags trended twitter june situation highlights hypocrisy surrounding artistic expression india controversial films political narratives article adipurush series recent films aimed appealing hindu viewers article highlights allegations distorted facts islamophobia films kerala story interestingly rightwing actively promoted adipurush release initiate boycott film hit theatres general elections india films lineup relay narratives wing inconsistencies controversies leftwing quick demand ban films kerala story kashmir files due allegations exaggerated narratives remained silent criticizing adipurush lack hindu epic video game aesthetics subpar graphics twodimensional storytelling ignore left wing standoffish topic starts ends wing left consistent calls banning films freedom expression upheld art inherently political critics argue artist refrains making overt political statement silence perceived political stance film plays religion reallife perpetrator muslim hindu presents artistic expression political statement loses basis events web series jamtara portrays hindus key perpetrators muslims news reporters fight crime august delhi police arrested jaamtara found key accused jamtara group muslims youtube channels media agencies reported misrepresentation real incident fictional web series titled paatal lok unfairly criticized heavily rightwing groups labeled antinational hinduphobic storyline minorities illtreated served legal notice showing woman raped sikhs controversial narratives sudipto sens kerala story labeled propaganda polarizing countrys political discourse marketing baseless allegation thousands women kerala forced convert islam join islamic state terror group indeed documented hindus christians married muslims different parts country including kerala spouses afghanistan join iskp islamic state khorasan province marriage exaggeration problematic launch trailer kashmir files despite biggest box office hits faced similar opposition claimed propaganda supported bjpled central government leftwing championed freedom expression instances suited narratives quick brand kerala story politically charged propaganda resulting ban states despite receiving approval censor board selective support freedom expression freedom expression favored term selfproclaimed liberal groups sides spectrum support freedom appears limited expressions align beliefs ecosystem instance aamir khans film faced boycott due previous comments feeling unsafe country secular masses rallied citing importance freedom expression democratic setup conversely faced boycotts india muslim tehwar committee objected portrayal muslim women citing religious sentiments similarly akshay kumar apologize sikh religious heads film due perceived disrespect banning kerala story leftwing hastily labeled politically charged propagandist resulting ban despite censor boards approval navigating bias artistic expression deafening silence bollywood selfproclaimed secular intellectuals hostility leftliberal elite film portraying ethnic cleansing violence hindus kashmir valley reveals blatant bias rightwing narratives schindlers list resonated jewish community kashmir files holds personal significance thousands displaced kashmiri hindus supported experienced exodus firsthand director schindlers list jewish background film kashmir files backed part exodus s personal validation affected events accusations islamophobia false claims call ban kerala story similar allegations films dismissed fiction inconsistencies expose hypocrisy left liberals film humanize terrorists give context terrorist picked arms fact brainwashed book political statement hand films defended despite accusations glorifying atrocities committed turkish sultanate realm censorship celebrated films stands prime acclaimed masterpieces encounter dissent political religious factions despite critical acclaim historical drama faced share negative criticism notably questioned film genuinely capture magnitude holocaust asked portrayal holocaust schindlers list provocatively remarked holocaust success holocaust million killed schindlers list serves poignant reminder complexities debates arise attempting depict sensitive historical events silver screen film faced significant scrutiny handling sensitive themes jewish concentration camp survivor helen hirsch raised concerns movies portrayal highlighting potential sexualization female suffering sentiments echoed sentiments including tom coburn cochair congressional family caucus expressed unease films graphic nature televised premiere nbc explicit violence language nudity sexual content stirred controversy viewers ages exposed intense imagery jewish community division opinions depiction jewish characters criticisms emerged asserting nuanced portrayal schindlers accountant itzhak stern brilliantly portrayed ben kingsley jewish characters appeared onedimensional representations devoid psychological deptha monolithic mass weakness criticisms shed light complexities differing perspectives arise navigating sensitive subject matter cinema ability spark conversations shed light important stories considered success ultimately perception understanding film rest audience attempts suppress ban films hinder artistic expression meaningful dialogue consequences bans art inherently political calls bans films stem accusations inciting communal passions spreading false narratives act banning film backfire ways court rulings overturn bans controversy surrounding banned film generates curiosity increases public interest inadvertently amplifying propaganda value serving hidden agendas reminiscent infamous prime minister narendra modi despite banned indian government hostile propaganda antiindia garbage fueled heightened curiosity banning films contradicts essence freedom artistic expression fundamental aspect thriving democracy hypocrisy calling ban film censored film board lies contradiction advocating censorship demanding suppression film censorship involves rigorous process review ensure compliance guidelines societal standards striking balance freedom expression public interests political affiliations calling bans films certified sets dangerous precedent undermining democratic values open dialogue debate essential discussing films impact societal implications left calling ban film cleared respective censor boards judiciary film kerala story antidemocratic calling bans films certified set dangerous precedent advocating ban postcensorship hypocritical disregarding established mechanisms impeding artistic freedom matters media serves crucial platform analysis information dissemination highlighting contradictions double standards role indian media regard remains subject readers discern read link stories visit,negative
4434,movie disaster biggest shame celebrating things th day collection india india rejected movie,negative
4435,ww gross closing,negative
4436,movie disaster biggest shame celebrating things th day collection india india rejected movie,negative
4437,difficult week,negative
4438,strong supporter bjp age understand politics request step ban movie india fail understand released huge roar,negative
4439,strength strength global box office collects days continues steady march box office,positive
4441,disaster biggest shame celebrating things th day collection india india rejected movie,negative
4442,semi hit clashed crore worldwide hindi format crore worldwide maximum expected formats,neutral
4443,hindi week nd fri nd sat nd sun total lack competition helped nos weekend reach,negative
4444,signs bigticket film amidst mixed reviews actors films reports,neutral
4446,round completed touches gross ww days,negative
4447,difference eligible call drdoctoratedoctordirector insulted lord rama fit antihindu vikas support bakrid,neutral
4448,d charges hindi belt today,negative
4449,unexpected hit journey disastrous talk bb coll prabhas stardom unlimited hit crores budget crores gross ww crores ott satellite music rights,negative
4450,immerse epic saga captivating d cinematic experience book tickets starting witness power adipurush unfold big screen jai shri ram book tickets,neutral
4451,ananthapuram town day gross town gross,negative
4452,immerse epic saga captivating d cinematic experience book tickets starting witness power adipurush unfold big screen jai shri ram book tickets,neutral
4458,believe crores buy kind ai make experimentation movie,positive
4459,strength strength global box office collects days continues steady march box office,positive
4462,figures india collections south markets count hindi version liketolike comparison hindi films karnataka approx tamil nadu approx kerala approx,neutral
4463,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4466,virender sehwag joined fray viciously mock movie,negative
4468,collections india worldwide updated,neutral
4470,full paide vity rebelodi boxoffice pull,neutral
4471,top tollywood films uk m m k k k incl released lang,neutral
4472,immerse epic saga captivating d cinematic experience book tickets starting witness power adipurush unfold big screen jai shri ram book tickets cinemas,neutral
4473,overseas yesterday a nz data,neutral
4475,bar danceress telugutollywood south film industry fit role item danceress jannat film shame dancer,negative
4476,reviews mass,neutral
4477,total worldwide gross approximate figures films crores crores crores crores crores approximately,negative
4480,nd weekend collection upto level movie end loss venture,negative
4481,days collections stand crores nett hindi version,neutral
4483,trolled mocking fans lost respect,negative
4484,top tollywood films uk m m k k k incl released lang,neutral
4485,worldwide box office update india nett overseas m note weekend million total,neutral
4486,tough close numbers amount loss distributors bare minimum film involving kind costs bomb day pmf care distributor losses maruthi film rest everywhereoutside tg hit film,negative
4487,worst fake cinema critics knownif ur real cinema critic r posting collection collecting means ur real cinema critic,negative
4489,strength strength global box office collects days continues roar box office,positive
4490,box office update hindi approx weekend nizam andhra apprx karnataka apprx tamil nadu apprx kerala hindi circuits telugu tamil total nett gross,negative
4491,days worldwide box office collections,neutral
4492,strength strength global box office collects days continues roar box office,positive
4496,reducing ticket price absolute disaster created sacred story shame makers supporters,negative
4497,collection day starrer grosses crore worldwide,negative
4498,feeling tseries unite indians pakistanis united rw lw,positive
4500,bobbili town days gross,negative
4501,trio bring ramayan current gen told languagesto create ramayan awarenessexposing anti nationalsbhandaphoding virat hindus ramayanto uncover actors act epics untouched dignity,positive
4502,full paide vity rebelodi boxoffice pull,neutral
4503,women dressed abusive supporters flaunt wokedom bindhi mangal sutra colourful young watch days bindhi business,negative
4504,witness epic saga edited changed dialogues watch,neutral
4506,strength strength global box office collects days continues steady march box office cinemas,positive
4507,shoes writing script respect lord rama,positive
4508,watch real ready travel back time years ago pls travel nearest,positive
4509,prabhass adipurush collected crores sunday,neutral
4511,hearing forces working creating vity impact realizing campaign false loving movie,positive
4515,usacan top indian grossers m m m days m m m m approx m m,neutral
4516,book tickets starting experience grandeur world offer starts today book tickets link bio cinemas gnage official,positive
4517,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4518,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4519,muscle powerhouses bollywood actors gym bods,neutral
4520,beg differ earned bcoz jsrnot bcoz prabhas wld hve casted mr actor movie wld hve made amount hve radhe shyam prabhas ott horrible movie n prabhas cld make success,neutral
4523,movies collections total colls flop films mi hit film kalipina maku equal ga raledu ra lanjodkallara prabhas hit padithe prabhas film mi films ra,negative
4525,ww box office week week day day day total,neutral
4529,worldwide gross days,negative
4530,boxoffice collections day film mints crores globally ten days marching crore mark,neutral
4533,crossed globally days level craze break reportedly expected week,negative
4534,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4535,lyrical version,neutral
4537,proved stamina prabhas crowdpuller irrespective genre product wouldve ensured boxoffice success prabhas fans disappointed real celebration starts july teaser title dropping,neutral
4538,tseries things sorry pakistan,negative
4539,crossed globally days level craze break reportedly expected week,negative
4540,biggest enemies hindus hindus thesethe called secular creative minds film industry r bothered consequences creating bakwas movie hindus make lot noise max boycott,negative
4541,shows hyderabad th day tuesday irrespective talk check,neutral
4542,adipurush picks strong pace box office earns crores globally days,positive
4543,strength strength global box office collects days continues steady march box office,positive
4546,asked seat hanuman jibut gods grace gave seats,positive
4547,film worst vfx animation dialogues properly ravanas heads floating air rupees back,negative
4549,proved stamina prabhas crowdpuller irrespective genre product wouldve ensured boxoffice success prabhas fans disappointed real celebration starts july teaser title dropping,neutral
4550,amount nizam rights,neutral
4552,screens delhi gonna regret missing experience theatrethose listening hatred reviews,negative
4555,adipurush st week box office collection,neutral
4556,day gross day gross day gross day noon show gross,negative
4557,worldwide gross days,negative
4558,modern day ravan ra waiting sequel watched movie released tv time instagram video editx,neutral
4559,strength strength global box office collects dayscontinues steady march box office,positive
4560,average film terms business compare adipurush lot controversy ramsetu ramsetu content,neutral
4561,huppa huiya video song release cheyyandi,neutral
4563,twitter song added theatres sunday theatre management playing huppahuiyya song interval vallu correct gane chepparu chaala sepu suspense tharuwatha ninnane ardham ayindhi nijam cheppu song shoot cheyyaledhu kadha,negative
4564,check updated showtimes favourite movies week watch pick book tickets boxoffice online,neutral
4565,bhimavaram th day noon show gross,negative
4568,orginal collection,neutral
4570,strength strength global box office collects days continues steady march box office,positive
4571,incredibly touched overwhelming response shown adipurush jai shri ram book tickets link bio cinemas gnage official,neutral
4572,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4573,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4575,uttarandhra days share d crossed b e,neutral
4576,negativity lekapothe easy ga bomma,negative
4577,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4578,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4579,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4580,doubt kannada dubbed version sold tkts yesterday continuous neg impacted indeed effect boycott,negative
4582,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4583,hahaha updating collections,positive
4584,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4586,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4587,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4589,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4590,fact,neutral
4591,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4592,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4594,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4595,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4596,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4598,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4599,bhimavaram town th day noon show gross theaters,negative
4600,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4601,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4602,adipurush joins club nizam region,neutral
4603,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4605,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4606,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4607,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4608,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4609,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4610,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4611,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4613,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4614,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4615,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4616,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4618,surpasses lifetime gross directorial highestgrossing film career total worldwide gross approximate figures prabhas films crores crores crores crores crores,negative
4619,record box office amma mogudu,neutral
4620,days worldwide collections telugu version,neutral
4622,crore gross crore net crore budget film,negative
4623,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4624,target heros score big consider ih hero disaster talk,neutral
4625,ticket prices slashed amid free fall box office,neutral
4626,top tollywood grossers worldwide japan running genre amptalk samandham lekunda collections hail pra bo,neutral
4628,bhimavaram town day noon shows gross theatres,negative
4629,worldwide gross days,negative
4633,strength strength global box office collects dayscontinues steady march box office,positive
4634,triumphs critics defying odds astonishingly crosses remarkable milestone gboc days amidst onslaught negativity boxofficekabaap,neutral
4635,strength strength global box office collects dayscontinues steady march box office,positive
4636,worldwide gross days pure rebel star mass,negative
4637,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4638,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4639,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4640,wish sincere fans spreading pic fans stay calm hrs fanwars fans disguise pbs fans,positive
4641,telugu critics stop rude moviessee critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4642,telugu critics stop rude moviessee critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4643,telugu critics stop rude moviessee critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4647,hey supporing hard defend cuase motive show peoples liking movie pray future watch mistakes,neutral
4648,lied watching movie sharing edited tweets morphed pics celebraties crying god shreeram movie,negative
4650,milestone crossed leaves indomitable mark annals cinema hail triumphant king box office,positive
4654,crossed gboc days,neutral
4655,days apts bo gross share incl gst,negative
4657,correct lyrics,neutral
4663,maintains perfect fake collections,neutral
4664,reported fee justified debacle,positive
4665,imagine kind shyit dumbfcuk written shoes writing,positive
4666,crossed gboc days,neutral
4668,collected global gross days week watching ticket prices reduced d,negative
4669,budget till box office collection respect religion make type movie censor board pass movie wastage money,neutral
4670,incredibly touched overwhelming response shown adipurush jai shri ram book tickets cinemas,neutral
4672,retracing footsteps shri devi visit ram ram,neutral
4673,sir possible pl increase d shows,neutral
4674,flopaverage box office,neutral
4676,crossed gboc days,neutral
4678,achieved face negativity disaster talk b indian cinema phenomenonsl emerged hit movie reservations ly personality goodness helped hope worst director phase om rout,negative
4679,hit talk ww days gross,negative
4680,download mindspace app appstore proof ramayana happened,neutral
4681,strength strength global box office collects days continues steady march box office,positive
4684,bar dancer filmshow gurmeet choudhary debina banerjeebonnerjee drama defame insult danceress actress wore bra underwearbikini profit,negative
4685,strength strength global box office collects days continues steady march box office,positive
4686,prediction dud latter film release,negative
4691,th clean hit north indian box office theatrical sold crs recovered crs,positive
4692,incredibly touched overwhelming response shown adipurush jai shri ram book tickets cinemas,neutral
4694,global box office collects days continues steady march box office,neutral
4695,global box office collects days continues steady march box office,neutral
4696,global box office collects days continues steady march box office,neutral
4698,strength strength global box office collects days continues steady march box office,positive
4699,clean hit hindi,positive
4701,ep reinventing wheel ep assembling raiders nextep guesses,neutral
4702,opening day hindi updated,neutral
4703,epic battles fought onscreen rebel star emerges victorious conquering hearts box office monumental collection days worldwide bow king,negative
4704,closing itey adhey happy,positive
4705,days official bo poster,neutral
4706,strength strength global box office collects days continues steady march box office,positive
4708,official poster team days worldwide gross,negative
4709,grossed crores worldwide box office days directed starring,negative
4710,stop show india ramayan great story,positive
4712,surpassed massive c days,neutral
4713,movies shows till pm s s s t s t s,neutral
4714,day tracked collection india till pm gross lakh shows hourly live report,negative
4716,incredibly touched overwhelming response shown adipurush jai shri ram book tickets cinemas,neutral
4717,exclusive yesterday night called offered sequel reportedly blocked contact team work follow,negative
4718,truth wins running successfully worldwide,positive
4719,repeat decrease price imax n d theatres shows imax houseful crowd day pcx amazing experience sathyame gelusthundi,positive
4720,marks global boxoffice,neutral
4722,om raut adipurush part check prabhas reaction,neutral
4723,strength strength global box office collects days continues steady march box office,positive
4725,perfectly sums,positive
4726,worldwide gross days nd sunday yesterday major cities witnessed jam packed theatres families kids expecting run today andhrapradesh families occupancy,negative
4728,update screen budget day weekend appreciate tweet mass update real weekend collection instead fake producer manipulated figure,negative
4729,collects gross days global box office,negative
4731,om raut adipurush part check prabhas reaction,neutral
4733,king box office crores days,neutral
4735,strength strength global box office collects days continues steady march box office annaya,positive
4736,shattered global box office world wide ten days gross,negative
4737,crossed mark days,neutral
4739,exclusive yesterday night called offered sequel reportedly blocked contact team work,negative
4740,monday morning,neutral
4742,epic battles fought onscreen rebel star emerges victorious conquering hearts box office monumental collection days worldwide bow king,negative
4744,strength strength global box office collects days continues steady march box office,positive
4745,strength strength global box office collects dayscontinues steady march box office,positive
4746,round completed touches gross ww days,negative
4747,strength strength global box office collects dayscontinues steady march box office,positive
4748,strength strength global box office collects dayscontinues steady march box office,positive
4750,surpassed massive c days,neutral
4751,directorial collected crore sunday june read,neutral
4752,netizens troll makers reducing ticket prices film watch free,positive
4754,ww box office day total gross,negative
4756,shirt available wnp district kavalantey dm cheyandi,neutral
4757,strength strength global box office collects dayscontinues steady march box office,positive
4758,actors stardom reason budget film budget earning obvious flop disaster film low budget film recovered money hit,negative
4759,collects crs worldwide days,neutral
4761,surpassed massive c days,neutral
4765,strength strength global box office collects dayscontinues steady march box office,positive
4766,ticket offer,neutral
4767,shoes r related health fortune ur feet r directly related saturn enter house wearing shoe worn outsideu evil affects associated rahuketu wear footwear mind,negative
4768,strength strength global box office collects days,positive
4770,strength strength global box office collects dayscontinues steady march box office,positive
4771,south actor successful films north losses crs profit crs profit crs crs loss breakeven waiting mass comeback,positive
4772,yesterday watched movie mindblowing movie nice screen play background score kudos vision make epic imagined rama super hero showed screen apt lord rama lived sita role,positive
4773,delight families enjoy d visual spectacle big screen children reduced ticket rates,positive
4775,collects gross days global box office,negative
4776,frustrated dialogue written sir place acceptable lets forget tht wrote songs ram siya ram jai shree ram tht movie totally masterpiece,neutral
4778,south india state wise share collection tn kl apts total movie heading loss venture overseas share,positive
4779,days ww gross hit mark,negative
4780,svp tirupathi city st week gross excluding renigunta chandragiri crnon ssr tirupathi days grossincluding renigunta chandragiri crdevudi movie edo bb lottery telidam ledhu gani ceded weakest hero edey,negative
4781,screened,neutral
4784,listen latest bollywood news indian express controversies continue shah rukh khan celebrates years films abhishek bachchan reflects careers ups downs,positive
4786,aptg th day highest share movies,neutral
4787,king easy blame inside uniform courageous person,positive
4790,hindi theatrical rights sold crs days nett crs share approx recovery th boxoffice clean hit north india crs share crs share share crs share,positive
4792,mass apology persons responsible making movie nation changing dialogues accepted,positive
4793,coming room,neutral
4796,uttarandhra share crore total recovery including d sharing percentage distributor crore rights crore end average recovery distributor,positive
4797,braj puram gla university delhi mathura highway vrindavan call info,positive
4804,indian box office collections days crores nett languages hindi nett crores days world wide gross languages crores,negative
4806,film makers bar phir hag film dialogs logo aapatti unmein dialogs recently change film dialogs cringe dialogs lipsync,neutral
4807,days apts shares including gst crores nizam crores ceeded ua east west guntur krishna nellore apts total share crores,positive
4808,releasing india time release masterpiece,positive
4813,adipurush days total world wide collections day,neutral
4821,e week inko show set cheyyali d ni super chupinchadu entire movie omraut shots prabhas amazing baahubali,positive
4822,day box office collection,neutral
4824,dear reason character assassination watch video shows mistakes translated english,negative
4829,days ww collections north india crs nett crs gross apts crs share crs gross karnataka crs gross roi crs gross overseas crs gross total ww crs gross th movie marching crs gross,negative
4832,blaming director writer actors responsible censor board india equally responsiblethey cut dialogue glory hanuman international movie disrespect audience cut nonsense dialogue,negative
4834,box office collection day kriti sanon saif ali khan starrer witnessed drastic fall weekend,neutral
4835,box office day collection film witnesses slight growth sunday,positive
4836,ticket offer,neutral
4837,actor manohar pandey recently speaks collaboration industry stalwarts impact training national school drama,neutral
4839,takes box office,neutral
4842,north breakeven n dusted man odds,neutral
4843,box office day collection film adds crore sunday stands crore,neutral
4846,release distorted beautiful hindi version movie ramayan legend prince ram available checked available,neutral
4849,register protest baba expected ban trash content happen baba uttered word tapori lingua movie,negative
4850,adipurush movie box office collection reviews,neutral
4854,ultrasonic spot welding machines,neutral
4857,actor slams film tv shows ten times,neutral
4859,r condemning totally r making fun gods adipurushs memes n reels condemnation raise ur voice,negative
4860,movie sirf shri ram naam pr chli chli vjha kyoki agr prabhas vjha chlti ese downfall ata logo jese pta lga inhone mjak bnadia ramayan isliye downfall hogya,neutral
4861,athhukulla va cares variety entertainment waiting chill book tickets,positive
4864,comparing stats made debut year received significant public admiration misadventure eyes upcoming,positive
4866,ppl difference actors stardom vicky kaushals film lifetime business n super hit prabhas film lifetime business india flop difference stardom,positive
4870,president ji indian cine workers association wrote letter prime minister honourable shri ji ban movie adipurush,negative
4871,president ji indian cine workers association wrote letter prime minister honourable shri ji ban movie adipurush,negative
4873,president ji indian cine workers association wrote letter prime minister honourable shri ji ban movie adipurush,negative
4878,weighs row matters faith held utmost sensitivity watch,positive
4879,wasted line csspeople answer fraud,negative
4880,telugu critics stop rude moviessee critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
4882,watching watch till end,neutral
4883,experience om gadu chepinatlu idhi big screens kosame pakka chudali indhulo mathram ah experience kosam ah brightness ithey,positive
4884,ideal world bhushan kumar war crimes,negative
4887,reviews destroys line fans agree,negative
4888,adipurush makers slashed d ticket prices,negative
4889,chittoor days gross lks,negative
4891,tirupathi days gross crs,negative
4892,universal fact endians sh begerat copy paste,neutral
4893,thursday bakrid weekend e week mothham adithey chalu great adhi,positive
4894,prabhas signed big money project,neutral
4895,teaser title announcement updates july,negative
4896,gross day chittoor,negative
4897,music courtesy ajayatul movies man disappointing rewatching ramayana animated movie restore essence ramayana mind,neutral
4899,days apts shares apts total share bussines,positive
4901,day ticket price day ticket price figures condition box office,neutral
4902,tn boxoffice top films june rd th week verdict rd blockbuster st st decent st poor st poor nd avg nd disaster,negative
4903,hindi theatrical rights sold crs days nett crs share approx recovery th boxoffice clean hit north india crs share crs share share crs share,positive
4905,tirupathi city days gross,negative
4906,chittoor town days gross lks,negative
4907,ww box office week week day day day total,neutral
4910,ww box office week week day day day total,neutral
4911,ww box office week week day day day total,neutral
4913,khammam th day gross days gross,negative
4914,ww box office week week day day day total,neutral
